ID	Cuisine	Ingredients
47028	japanese	melted_butter matcha_green_tea_powder white_sugar milk all-purpose_flour eggs salt baking_powder chopped_walnuts
38112	indian	coarse_salt fenugreek urad_dal potatoes white_rice vegetable_oil
2646	italian	pizza_crust plum_tomatoes pesto part-skim_mozzarella_cheese
5206	irish	cooking_spray salt black_pepper yukon_gold_potatoes low-fat_sour_cream leeks olive_oil 1%_low-fat_milk
38233	thai	sugar chicken_thighs cooking_oil fish_sauce garlic black_pepper
39267	thai	lemongrass large_garlic_cloves rice unsweetened_coconut_milk fresh_ginger peanut_sauce spareribs sesame_oil tamari_soy_sauce golden_brown_sugar dry_sherry boiling_water
11913	indian	chicken_legs chile_pepper ghee tomato_paste fresh_ginger_root garlic chopped_cilantro_fresh water vegetable_oil onions tomatoes garam_masala cumin_seed ground_turmeric
20591	jamaican	stock curry_powder cracked_black_pepper minced_beef onions plain_flour bread_crumbs butter garlic celery cold_water tumeric dried_thyme ginger oil tomatoes water paprika salt chillies
70	italian	crushed_tomatoes garlic fresh_rosemary ground_black_pepper onions olive_oil boneless_pork_loin kosher_salt pappardelle
43928	thai	extra_firm_tofu coconut_milk fresh_basil red_curry_paste eggplant red_bell_pepper vegetable_oil onions
8530	korean	jasmine_rice garlic scallions sugar shiitake Gochujang_base beansprouts top_round_steak sesame_seeds rice_vinegar carrots soy_sauce sesame_oil Taiwanese_bok_choy
275	french	vanilla milk large_egg_yolks sugar corn_starch
43769	french	orange_juice_concentrate pumpkin_purée marshmallow_creme toasted_pecans maple_syrup ground_cinnamon gingersnap ground_nutmeg cream_cheese
49111	southern_us	black_pepper white_sugar white_vinegar salt bacon brown_sugar green_beans
11886	spanish	large_eggs serrano_ham manchego_cheese butter dijon_mustard sourdough membrillo
45839	indian	burger_buns fresh_cilantro chili_powder garlic_cloves panko_breadcrumbs chickpea_flour pepper Sriracha chickpeas carrots ground_flaxseed soy_sauce olive_oil salt lemon_juice greens spinach curry_powder tahini scallions onions ground_cumin
699	moroccan	ground_cloves whole_nutmegs ground_ginger ground_coriander ground_cinnamon ground_cardamom ground_black_pepper ground_cumin
24568	italian	tomatoes red_pepper olive_oil Italian_bread balsamic_vinegar onions fresh_basil garlic
8820	italian	sausage_casings ground_black_pepper garlic honey grated_parmesan_cheese shredded_mozzarella_cheese kosher_salt roasted_red_peppers penne_pasta olive_oil crushed_red_pepper_flakes
16582	moroccan	tumeric olive_oil lemon saffron tomato_paste pepper flour chickpeas chicken_stock warm_water fresh_ginger salt tomatoes fresh_cilantro shallots fresh_parsley
9058	moroccan	ground_pepper paprika ground_cardamom chopped_cilantro_fresh preserved_lemon harissa salt couscous tomato_paste cayenne garlic fat_skimmed_chicken_broth ground_turmeric pitted_kalamata_olives diced_tomatoes fat onions
4715	vietnamese	sweetened_condensed_milk ice espresso
29061	japanese	top_round_steak vegetable_oil shiitake soy_sauce fresh_asparagus green_onions
2107	mexican	avocado chopped_cilantro_fresh jalapeno_chilies finely_chopped_onion plum_tomatoes green_chilies
22825	cajun_creole	pecans golden_brown_sugar crumbled_blue_cheese garlic_cloves chuck hamburger_buns hot_pepper_sauce creole_seasoning onions mayonaise ground_black_pepper salt okra_pods andouille_sausage olive_oil watercress fresh_lemon_juice
13758	southern_us	sugar vanilla eggs self_rising_flour confectioners_sugar milk softened_butter food_colouring butter
6886	french	Madeira foie_gras demi-glace sherry_vinegar whipping_cream white_bread Fuyu_persimmons salt egg_bread watercress
14874	indian	fenugreek_leaves olive_oil garlic black_mustard_seeds ground_cumin amchur lime_wedges scallions coriander sugar fingerling_potatoes green_chilies chopped_cilantro tumeric fresh_ginger_root salt ramps
43399	indian	black_peppercorns cinnamon_sticks cardamom_pods cumin_seed coriander_seeds
38254	italian	spinach asiago whole_wheat_pasta olive_oil sweet_onion garlic grape_tomatoes mushrooms
41596	italian	chestnuts granulated_sugar whole_milk_ricotta_cheese coffee_ice_cream large_eggs mascarpone rum powdered_sugar semisweet_chocolate chestnut_flour
33989	indian	baby_spinach_leaves naan unsalted_butter chopped_garlic water large_shrimp tomatoes salt
17004	korean	water barley
4969	spanish	cooked_ham red_bell_pepper seasoning potatoes olive_oil onions eggs bacon
31831	italian	salt starchy_potatoes grated_nutmeg flour
46648	southern_us	ground_black_pepper all-purpose_flour milk buttermilk sirloin_tip_roast coarse_salt steak vegetable_oil cayenne_pepper
36888	southern_us	granulated_sugar all-purpose_flour vegetable_shortening baking_powder milk salt
34471	greek	ground_pork finely_chopped_fresh_parsley onions salt vinegar caul_fat
25164	mexican	ground_cinnamon whole_milk golden_brown_sugar heavy_whipping_cream kahlúa corn_starch instant_espresso_powder
39600	mexican	boneless_chicken_skinless_thigh lime epazote bay_leaf lime_juice radishes salt oregano white_onion hominy garlic chopped_cilantro avocado fresh_cilantro tomatillos pepitas canola_oil
46357	southern_us	catfish_fillets ground_black_pepper salt dried_thyme ground_red_pepper peanut_oil yellow_corn_meal large_eggs all-purpose_flour garlic_powder buttermilk
46905	indian	olive_oil sea_salt coconut_milk water garam_masala ground_coriander basmati_rice cauliflower fresh_ginger green_chilies onions fresh_cilantro potatoes scallions cumin
8753	italian	olive_oil olives salt blood_orange freshly_ground_pepper fennel_bulb
37337	italian	balsamic_vinegar low_salt_chicken_broth dijon_mustard corn_starch dried_basil garlic_cloves white_wine_vinegar
17636	italian	tomato_sauce shredded_carrots spinach part-skim_mozzarella_cheese italian_seasoning english_muffins,_split_and_toasted chopped_onion vegetable_oil_cooking_spray chopped_green_bell_pepper
8997	japanese	prawns rice_flour seasoning_salt salt vegetable_oil club_soda garlic_powder cayenne_pepper
28851	italian	cheddar_cheese lasagna_noodles pepper ranch_dressing mozzarella_cheese cooked_chicken evaporated_milk
4635	greek	minced_garlic dried_oregano red_wine_vinegar olive_oil boneless_chop_pork lemon_juice
7782	korean	cooking_spray garlic_cloves sliced_green_onions chile_paste salt fresh_lime_juice sugar flank_steak corn_tortillas lower_sodium_soy_sauce dark_sesame_oil cabbage
8031	indian	minced_garlic raisins onions olive_oil pearl_barley curry_powder salt slivered_almonds ground_black_pepper flat_leaf_parsley
49434	mexican	chocolate_bars marshmallows cinnamon_graham_crackers
31318	southern_us	milk grated_parmesan_cheese chopped_celery mustard_powder cod minced_onion butter all-purpose_flour ground_black_pepper potatoes salt red_bell_pepper water chopped_green_bell_pepper old_bay_seasoning dry_bread_crumbs
31027	irish	vegetable_oil_cooking_spray golden_raisins salt margarine eggs mace brewed_tea all-purpose_flour candied_orange_peel ground_nutmeg raisins grated_lemon_zest ground_cinnamon dried_currants baking_powder rum_extract dark_brown_sugar
47095	korean	sugar water noodles pork corn_starch baby_bok_choy black_bean_sauce red_potato kosher_salt onions
4574	chinese	chinese_rice_wine shiitake sesame_oil oil soy_sauce egg_roll_wrappers garlic corn_starch sugar ground_black_pepper ground_pork carrots fresh_ginger cooking_oil salt cabbage
19757	mexican	black_beans quinoa garlic lime diced_tomatoes chopped_cilantro_fresh kosher_salt jalapeno_chilies frozen_corn olive_oil vegetable_broth
35570	southern_us	salt butter red_bell_pepper black_pepper okra_pods yellow_bell_pepper chopped_cilantro_fresh
44812	chinese	water salt garlic_cloves cold_water orange sauce onions soy_sauce star_anise chinese_five-spice_powder brown_sugar fresh_ginger duck
27858	moroccan	tomato_paste unsalted_butter dried_mint_flakes purple_onion ground_cumin olive_oil grated_parmesan_cheese diced_tomatoes penne_rigate feta_cheese whole_milk ras_el_hanout ground_lamb ground_cinnamon large_eggs large_garlic_cloves all-purpose_flour
18624	irish	crumbled_blue_cheese salt large_egg_whites vegetable_oil sugar cooking_spray all-purpose_flour large_eggs 2%_reduced-fat_milk
9406	chinese	sugar napa_cabbage_leaves garlic chicken_leg_quarters soy_sauce butter rice_vinegar red_chili_peppers sesame_oil salt cucumber pepper ginger long-grain_rice
35132	irish	crusty_bread salt baby_potatoes olive_oil fresh_parsley smoked_streaky_bacon sausages chicken_stock ground_black_pepper onions
33071	mexican	piloncillo ground_allspice water hibiscus ground_cloves cinnamon_sticks ground_nutmeg white_sugar
8321	italian	olive_oil freshly_ground_pepper fresh_rosemary salt fresh_parsley fresh_basil fresh_oregano crushed_red_pepper garlic_cloves
20955	italian	cold_water sugar butter chocolate_morsels cream_sweeten_whip instant_espresso_granules whipping_cream boiling_water kahlúa large_eggs chocolate_covered_coffee_beans unflavored_gelatin mascarpone pound_cake
45776	italian	pinenuts zucchini baby_carrots fresh_basil_leaves olive_oil dry_white_wine asparagus_spears white_onion grated_parmesan_cheese carrots frozen_peas arborio_rice yellow_crookneck_squash butter low_salt_chicken_broth
6043	jamaican	tomato_sauce ground_black_pepper garlic scallions chipotles_in_adobo avocado dried_thyme instant_white_rice cilantro_leaves coconut_milk water red_beans chopped_celery skinless_chicken_thighs onions lime_zest lime_juice lime_wedges salt carrots
336	mexican	water condensed_cream_of_mushroom_soup condensed_cream_of_chicken_soup lean_ground_beef Mexican_cheese_blend chunky_salsa taco_seasoning_mix corn_tortillas
25751	japanese	pepper panko_breadcrumbs plain_flour oil salt eggs steak
793	spanish	minced_garlic chorizo_spanish red_bell_pepper olive_oil pineapple_juice lime cilantro_leaves large_shrimp dark_rum fresh_lemon_juice
34367	chinese	water daikon sugar pork_ribs oil soy_sauce shallots goji_berries chinese_rice_wine oysters salt
7406	mexican	shredded_cheddar_cheese corn_tortillas salsa vegetable_oil black_beans sour_cream
7473	british	demerara_sugar egg_whites fruit butter dried_currants frozen_pastry_puff_sheets mixed_spice white_sugar
7532	indian	parsnips garam_masala chili_oil olive_oil brown_mustard_seeds chopped_cilantro_fresh sugar cooking_spray salt coriander_seeds yukon_gold_potatoes ground_cumin
5924	thai	Sriracha unsalted_cashews thai_green_curry_paste light_soy_sauce kecap_manis garlic frozen_broad_beans basil_leaves yellow_onion chili_flakes cooking_oil chicken_tenderloin
5802	southern_us	butter creole_style_seasoning fresh_parsley ground_black_pepper cayenne_pepper shrimp cauliflower paprika condensed_cheddar_cheese_soup whole_milk chopped_onion sliced_mushrooms
41078	mexican	refried_beans grated_jack_cheese hot_sauce sour_cream
20665	spanish	ground_cinnamon cornflour milk egg_yolks sugar cinnamon_sticks
39471	french	grated_parmesan_cheese asparagus bacon_slices ground_black_pepper green_onions large_eggs salt
9595	italian	fresh_leav_spinach cheese_tortellini fresh_basil cherry_tomatoes fresh_lemon_juice capers fresh_parmesan_cheese navy_beans pepper extra-virgin_olive_oil
27869	indian	quinoa nonfat_milk granny_smith_apples paprika chicken_broth chicken_breasts chopped_onion curry_powder chopped_celery
44776	british	milk salt flour eggs lard
17771	spanish	tomatoes golden_raisins salt olive_oil yellow_bell_pepper olives ground_pepper white_wine_vinegar green_bell_pepper green_onions fresh_basil_leaves
43970	italian	pecorino_romano_cheese fresh_fava_bean finely_chopped_onion extra-virgin_olive_oil plum_tomatoes italian_sausage large_garlic_cloves pasta_sheets dry_white_wine crushed_red_pepper
27165	korean	fish_sauce chicken_broth sesame_oil green_onions eggs
11190	indian	lime_zest sweet_potatoes purple_onion boiling_water spinach_leaves ginger low-fat_natural_yogurt red_lentils vegetable_stock carrots basmati_rice lime Flora_Cuisine curry_paste
21872	mexican	kosher_salt radishes garlic_cloves dried_oregano chicken_stock ground_black_pepper bone-in_chicken_breasts red_bell_pepper canola_oil tomato_paste white_hominy tortilla_chips onions avocado lime cilantro_leaves dried_chile_peppers cabbage
29853	mexican	granulated_sugar large_egg_whites
1154	southern_us	frozen_whipped_topping chocolate_instant_pudding instant_butterscotch_pudding_mix cream_cheese milk butter graham_cracker_crumbs white_sugar
9069	french	fennel_seeds kalamata capers dried_oregano great_northern_beans salt red_wine_vinegar
46975	cajun_creole	kosher_salt kielbasa red_bell_pepper celery_ribs large_garlic_cloves long-grain_rice fresh_parsley olive_oil cayenne_pepper medium_shrimp chicken_broth diced_tomatoes ham onions
4892	indian	moong_dal cilantro_leaves onions tomatoes capsicum lemon_juice green_mango oil garlic_paste salt carrots
21467	chinese	fresh_ginger garlic low_sodium_soy_sauce mirin toasted_sesame_oil tofu short-grain_rice dried_shiitake_mushrooms gari green_onions
20919	italian	shredded_mozzarella_cheese marinara_sauce fresh_basil_leaves penne_pasta
42013	italian	water extra-virgin_olive_oil carrots hot_red_pepper_flakes Turkish_bay_leaves dried_chickpeas onions celery_ribs semolina fine_sea_salt flat_leaf_parsley warm_water vine_ripened_tomatoes garlic_cloves
17821	italian	sugar mascarpone bittersweet_chocolate fat_free_yogurt vanilla_extract skim_milk angel_food_cake unsweetened_cocoa_powder kahlúa water instant_espresso
44138	southern_us	water onion_powder peanut_oil black_pepper garlic_powder salt eggs organic_chicken buttermilk corn_starch pepper flour cayenne_pepper
5980	greek	orange anise cinnamon_sticks unflavored_gelatin zinfandel orange_blossom_honey sugar lemon calimyrna_figs clove honey whipping_cream plain_whole-milk_yogurt
41961	japanese	ground_pepper flour garlic onions fresh_ginger mirin daikon corn_starch olive_oil reduced_sodium_soy_sauce beef_stock salt sliced_green_onions shiitake chuck_roast star_anise chopped_cilantro
27008	cajun_creole	Corn_Flakes_Cereal yellow_corn_meal coleslaw catfish_fillets creole_seasoning cooking_spray
31867	italian	diced_tomatoes sugar garlic_salt tomato_paste crushed_red_pepper dried_basil dried_oregano
34248	korean	soy_sauce chili_paste oil brown_sugar honey red_pepper_flakes kiwi pepper asian_pear garlic_cloves pork fresh_ginger salt
13792	mexican	chicken_broth chees_fresco_queso corn_tortillas swiss_chard salt olive_oil garlic onions red_pepper_flakes salsa
38502	indian	chili_powder coriander garam_masala salt tumeric vegetable_oil cumin prawns sauce
7023	italian	mushrooms all-purpose_flour fresh_rosemary veal_cutlets plum_tomatoes dry_white_wine low_salt_chicken_broth olive_oil large_garlic_cloves
7783	mexican	tomato_sauce garlic_salt chili_powder water ground_cumin pasta vegetable_oil
2472	korean	wakame extra-lean_ground_beef minced_garlic salt water soy_sauce sesame_oil
45193	chinese	scallion_greens Sriracha carrots soy_sauce wonton_wrappers toasted_sesame_oil sugar peeled_fresh_ginger nonstick_spray white_vinegar large_egg_whites scallions large_shrimp
7501	french	tomatoes olive_oil chopped_fresh_thyme salt chicken_bones green_bell_pepper,_slice black_olives lemon_juice eggs ground_black_pepper garlic anchovy_fillets dried_thyme lettuce_leaves purple_onion crusty_rolls
34930	chinese	coconut_oil ground_red_pepper scallions curry_powder salt coconut_milk pepper sesame_oil carrots ground_ginger almond_flour coconut_aminos ground_beef
42967	spanish	olive_oil white_rice onions chicken_broth crushed_garlic all-purpose_flour saffron pepper green_peas shrimp chorizo_sausage clams chopped_tomatoes salt boneless_skinless_chicken_breast_halves
14080	chinese	chicken_stock minced_garlic seasoned_rice_wine_vinegar snow_peas soy_sauce vegetable_oil garlic_cloves sugar fresh_ginger_root rice_vinegar large_shrimp white_pepper garlic corn_starch
45352	spanish	olive_oil paprika chopped_onion sugar hard-boiled_egg bacon_slices spinach_leaves artichoke_hearts dry_mustard black_pepper red_wine_vinegar salt
46205	japanese	water chili_powder oil stuffing salt ghee coriander_powder maida_flour ground_cardamom sugar baking_powder cumin_seed frozen_peas
47427	mexican	pepper pita_bread_rounds red_bell_pepper olive_oil garlic tomatoes eggplant salt lime butter chopped_cilantro_fresh
40064	french	pepper grated_Gruyère_cheese heavy_cream salt potatoes
9010	japanese	fresh_ginger vegetable_broth sake green_onions carrots udon red_miso silken_tofu button_mushrooms
18611	mexican	cooked_chicken cilantro_leaves fresh_lime_juice whole_peeled_tomatoes coarse_salt sour_cream canola_oil jalapeno_chilies garlic corn_tortillas shredded_Monterey_Jack_cheese pickled_jalapenos chili_powder freshly_ground_pepper onions
35124	italian	hot_red_pepper_flakes broccoli_rabe whole_milk garlic_cloves black_pepper parmigiano_reggiano_cheese all-purpose_flour sausage_casings olive_oil large_eggs dry_bread_crumbs fontina unsalted_butter salt
45605	filipino	sesame_oil cucumber sugar purple_onion fish_sauce thai_chile peppercorns vinegar salt
16334	southern_us	dry_white_wine corn_starch herbs refrigerated_piecrusts cream_of_chicken_soup cooked_chicken frozen_peas_and_carrots low_sodium_chicken_broth buttermilk
32035	italian	pasta_sauce fresh_parmesan_cheese olive_oil_flavored_cooking_spray frozen_chopped_spinach large_egg_whites part-skim_ricotta_cheese pepper large_eggs italian_seasoning manicotti_shells part-skim_mozzarella_cheese salt
16810	italian	vegetable_oil_cooking_spray dry_white_wine sliced_mushrooms fettucine olive_oil fresh_oregano onions fresh_basil parmesan_cheese corn_starch large_shrimp tomatoes chicken_bouillon garlic flat_leaf_parsley
3641	chinese	soy_sauce egg_whites red_wine_vinegar peanut_oil chicken_stock peanuts chicken_breasts chili_paste_with_garlic fresh_ginger green_onions red_pepper_flakes corn_starch sugar fresh_veget sesame_oil rice_vinegar
43374	mexican	taco_sauce milk guacamole garlic water salsa_verde shredded_cabbage dried_oregano kosher_salt sweet_onion condiments cayenne_pepper avocado pork_shoulder_roast tortillas chili_powder cumin
9112	indian	rose_petals almonds rice sugar whole_milk pistachios saffron
14970	korean	soy_sauce ginger canola_oil flour rice_vinegar honey garlic chicken_wings sesame_oil corn_starch
41396	mexican	chicken_stock drumstick ground_black_pepper chopped_cilantro green_chile peeled_tomatoes salt chicken chiles olive_oil adobo_sauce yellow_corn_meal chipotle_chile ancho_powder chipotle_chile_powder
4748	mexican	cheddar_cheese taco_seasoning_mix salt Old_El_Paso_Flour_Tortillas cranberry_sauce fresh_cilantro Sriracha beer avocado soy_sauce olive_oil chili_sauce brown_sugar lime jalapeno_chilies beef_rib_short
41833	japanese	miso_paste water seaweed tofu green_onions dashi
18031	greek	fresh_dill yoghurt salt myzithra large_eggs cheese feta_cheese phyllo kefalotyri ground_black_pepper extra-virgin_olive_oil onions
29734	mexican	sea_salt chopped_cilantro black-eyed_peas purple_onion shredded_Monterey_Jack_cheese lime garlic canola_oil Sriracha tortilla_chips
26415	southern_us	buttermilk okra large_eggs all-purpose_flour salt cracker_crumbs peanut_oil
29801	chinese	Philadelphia_Cream_Cheese powdered_sugar oil crab_meat salt wonton_wrappers
24351	british	savoy_cabbage salt unsalted_butter baking_potatoes black_pepper
8480	japanese	sake sesame_oil boneless_chicken_thighs peanut_oil soy_sauce vegetable_oil potato_starch fresh_ginger
27023	italian	cream_of_tartar pistachio_nuts salt orange_liqueur eggs vanilla_extract heavy_whipping_cream semi-sweet_chocolate_morsels water cake_flour confectioners_sugar ground_cinnamon ricotta_cheese cream_cheese white_sugar
10425	mexican	tomatoes coarse_salt water white_onion serrano fresh_cilantro
37188	irish	steel-cut_oats salt ground_cinnamon water hazelnuts hazelnut_oil brown_sugar sweet_cherries
24338	greek	olive_oil salt hamburger_buns paprika chopped_fresh_mint ground_cinnamon balsamic_vinegar feta_cheese_crumbles baby_spinach_leaves purple_onion ground_lamb
3457	cajun_creole	chopped_celery fire_roasted_diced_tomatoes andouille_sausage sweet_pepper red_kidnei_beans,_rins_and_drain
1355	japanese	gari rice_vinegar wasabi_paste black_sesame_seeds scallions Japanese_soy_sauce fresh_salmon sugar ginger garlic_cloves
40738	italian	dried_porcini_mushrooms chopped_fresh_thyme beef_rib_short tomato_paste kosher_salt dry_red_wine hot_water black_pepper fat_free_less_sodium_beef_broth garlic_cloves cremini_mushrooms olive_oil all-purpose_flour onions
42380	southern_us	creole_mustard minced_garlic green_tomatoes creole_seasoning canola_oil mayonaise prepared_horseradish paprika shrimp celery_salt water buttermilk lemon_juice shrimp_and_crab_boil_seasoning shallots salt medium_shrimp
16857	southern_us	turnip_greens vegetable_oil fresh_lemon_juice black_peppercorns butternut_squash apples kosher_salt buttermilk country_ham shallots extra-virgin_olive_oil
2923	southern_us	vegetable_oil frozen_edamame_beans onions whole_kernel_corn,_drain seasoning_salt
7528	italian	pitted_kalamata_olives grated_parmesan_cheese penne_pasta cauliflower olive_oil crushed_red_pepper pepper garlic fresh_parsley capers whole_peeled_tomatoes salt
15990	indian	strong_white_bread_flour salted_butter sunflower_oil warm_water yoghurt kalonji sugar instant_yeast garlic fresh_coriander sea_salt
27615	chinese	water chicken_breasts oyster_sauce soy_sauce egg_whites garlic cooked_white_rice kosher_salt mixed_mushrooms sauce wood_ear_mushrooms chinese_rice_wine vegetables sesame_oil corn_starch
